id_,year,month,state,mode,etiology,animal_type
46211,2015,4,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46212,2015,3,Colorado,Animal Contact,Salmonella enterica,Lizard
46213,2014,3,Oklahoma,Animal Contact,"Escherichia coli, Shiga toxin-producing",Other (specify)
46214,2015,4,South Carolina,Animal Contact,Salmonella enterica,Baby chick or duckling
46215,2015,4,Wyoming,Animal Contact,"Escherichia coli, Enterotoxigenic; Cryptosporidium unknown; Campylobacter jejuni",Cattle
46216,2014,1,Multistate,Animal Contact,Salmonella enterica,Other reptile
46217,2015,6,Virginia,Animal Contact,Cryptosporidium parvum; Cryptosporidium,Cattle
46218,2015,6,Colorado,Animal Contact,Campylobacter; Campylobacter jejuni,Dog or Puppy
46219,2015,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46220,2015,3,Utah,Animal Contact,Cryptosporidium,Cattle
46221,2015,8,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Other (specify); Pig; Sheep or goats; Other small mammalian household pet; Cattle
46222,2015,8,Ohio,Animal Contact,Campylobacter unknown,Dog or Puppy
46223,2015,9,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46224,2015,9,Minnesota,Animal Contact,Cryptosporidium unknown; Cryptosporidium parvum; Cryptosporidium parvum; Cryptosporidium other,Cattle
46225,2015,1,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46226,2015,2,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica,Baby chick or duckling
46227,2015,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46228,2015,1,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46229,2015,7,Ohio,Animal Contact,Campylobacter unknown,Cat or kitten
46230,2015,11,Virginia,Animal Contact,Cryptosporidium parvum,Cattle
46231,2015,10,Tennessee,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle; Other poultry; Other poultry; Sheep or goats; Pig; Other small mammalian household pet; Sheep or goats
46232,2015,12,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46233,2015,11,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46234,2015,11,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46235,2015,12,South Carolina,Animal Contact,Campylobacter unknown,Other poultry
46236,2015,1,Colorado,Animal Contact,Salmonella enterica,Turtle
46237,2015,1,Multistate,Animal Contact,Salmonella enterica,Turtle
46238,2015,4,Washington,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46239,2016,1,Montana,Animal Contact,Campylobacter jejuni,Dog or Puppy
46240,2016,2,Michigan,Animal Contact,Salmonella enterica,Other small mammalian household pet
46241,2016,2,Utah,Animal Contact,Cryptosporidium parvum,Cattle
46242,2016,3,South Carolina,Animal Contact,"Escherichia coli, Shiga toxin-producing; Cryptosporidium unknown",Cattle
46243,2015,5,Illinois,Animal Contact,Cryptosporidium,Cattle
46244,2016,3,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46245,2016,4,Ohio,Animal Contact,Cryptosporidium unknown,Cattle
46246,2016,4,Ohio,Animal Contact,Campylobacter unknown,Baby chick or duckling; Baby chick or duckling
46247,2016,3,Connecticut,Animal Contact,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Sheep or goats
46248,2016,4,Ohio,Animal Contact,Salmonella enterica,Other small mammalian household pet
46249,2016,4,Arizona,Animal Contact,Salmonella enterica; Salmonella,Other (specify)
46250,2016,5,Minnesota,Animal Contact,Cryptosporidium parvum,Cattle
46251,2016,5,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46252,2015,2,Multistate,Animal Contact,Salmonella enterica,Turtle
46253,2015,2,Multistate,Animal Contact,Salmonella enterica,Turtle
